,Title,Jun-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,
,SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,
,Finished Goods,209.6,293.7,432.3,338.4,348.8,522.5,373.6,585.8,530.9,534.7,556.8,711.6,
,Stock-in-Trade,3.6,3.8,5,9.3,6.7,8.1,6.5,6.5,15.7,17.7,15.7,28,
,Increase/Decrease in Excise Duty on Finished Goods,-0.5,14.8,17.8,-52,0,0,0,0,0,0,0,0,
,Trial Production / Other Adjustments,0,0,0,0,-1.4,0,0,0,0,0,0,0,
,Employee Benefits Expenses,168,146.1,211.7,242.1,254.6,279.1,310.4,345.3,374.8,442.2,487.3,581.3,
,Salaries and incentives,150.6,116.9,166.3,192.5,201.8,222.9,239.2,266.4,292.4,340.4,384.7,465.5,
,Contributions to Provident and other fund,7.5,5.9,9,10.6,11.3,11.5,11.5,13.5,15.5,17.2,20.3,24.6,
,Staff welfare expenses,9.9,8.3,12,13,14.9,15.1,16,19.2,21.5,27.5,28.9,36.1,
,Directors Remuneration,0,15.1,24.4,26,26.6,29.5,43.7,46.3,45.4,57.1,53.4,55.1,
,Floating Staff,,,,,,,,,,,,,
,Finance Costs,60.2,31.6,33.5,20.6,26,20.2,22.1,5.2,8,16.1,11.9,29,
,Interest Expenses on:,58,30.1,32,24.7,31.1,27.6,20.8,4.1,6.5,12.2,6.2,8.8,
,Taxes,0,0,0,0,0,0,2.3,0.3,0.6,3.7,0,0,
,Other Interest,58,30.1,32,24.7,31.1,27.6,18.5,3.8,6,8.5,6.2,8.8,
,Other borrowing costs,2.2,1.5,1.5,0.5,-0.2,-0.5,1.2,1.1,1.5,3.9,5.7,20.2,
,Less: Interest Capitalised,0,0,0,4.5,4.9,6.9,0,0,0,0,0,0,
,Depreciation and Amortization Expenses,139,104.6,154.3,167.2,183.5,205.7,212.8,229.5,263.4,298.4,358.6,428.3,
,Depreciation & Amortisation,139,104.6,154.3,167.2,183.5,205.7,212.8,229.5,263.4,298.4,358.6,428.3,
,Depreciation,139,104.6,154.3,167.2,183.5,205.7,212.8,229.5,263.4,298.4,358.6,428.3,
,Other Adjustment,0,0,0,0,0,0,0,0,0,0,0,0,
,Other Expenses,517,403.6,597,648.8,752.9,819.7,718,832.3,1027.9,1286.4,1380.8,1524,
,Manufacturing expenses,287.8,235.3,344.4,373,431.4,455.9,439.7,490.8,608.3,771.7,836.1,929.9,
,Consumption of stores and spare parts,27.9,23.9,33.2,31.5,37.6,37.6,41.9,45.9,54.9,61.3,76.4,83.2,
,"Power, Fuel & Water Charges",147.2,115.9,163.8,175,206.6,217.2,199.7,213.4,266.7,328.8,342.5,374.8,
,"Power, Oil & Fuel",146.4,115.2,162.7,173.6,205.5,216.1,198.6,213.4,266.7,328.8,342.5,374.8,
,Water Charges,0.8,0.7,1.2,1.4,1.2,1.1,1.1,0,0,0,0,0,
,Repairs to Building,4.1,4,6.9,5.6,4.7,6.3,3,7.5,4.9,6.5,8.5,7.4,
,Repairs to Machinery,10.1,8.1,12.6,15.5,13,14,13.8,14.5,17.3,21,21.6,27.7,
,Repairs to Other Assets,4.2,3,4,4.7,8,8.9,11.6,15.1,18.9,24.7,25.7,35.2,
,Direct Labour Charges,94.4,80.4,124,140.8,161.5,171.8,169.7,194.3,245.7,329.4,361.5,401.7,
,Cost of Insurance Operations :,0,0,0,0,0,0,0,0,0,0,0,0,
,Selling and Administration Expenses,217.8,155.6,240.2,261.2,303.7,302.5,259.3,306.4,375.4,463.7,495.8,533.8,
,Freight Outwards,61.3,46.5,75.2,89.2,107.8,108.2,111,129.3,150.1,166.4,189.5,222.2,
,Travelling Expenses,19.6,15.1,22,25,27.8,30.7,17.6,26.6,39.4,44.7,50.3,56.6,
,Brokerage & Commission on Sales,51.3,0,0,0,0,0,0,0,0,0,0,0,
,Advertisement,37,28.2,51,60,77.5,72.6,55.1,63.1,98,141.6,126,98.4,
,Sales tax /VAT/Service tax,1.3,0.3,0.5,0.9,0.3,0,0,0,0,0,0,0,
,Rent,11.3,10.5,16.1,17.1,18.5,16.6,4.9,5,4.2,6.8,8.6,11.7,
,Insurance,1.8,1.4,2,2.2,2.7,4.2,8.3,8.2,9.3,11.3,11.7,14,
,Payment to Auditors,0,0,0,0,0,0,0,0,0,0,0,0,
,Directors Fees,0.5,0.5,0.5,0.6,0.6,1.4,1.3,1.3,1.4,1.5,1.6,1.6,
,Legal Expenses,9.1,9,12.8,11.7,18.1,18.3,14.3,19.6,13.3,14.1,18.6,34.7,
,Printing & Stationery,8.1,6.1,9.2,9.7,8.9,8.8,7.4,8.7,8.7,10.4,10.7,10.7,
,Royalty and technical fees,1.2,1.8,1.9,2.4,19.1,0,0,0,0,0,0,0,
,Other Fee Expenses,5.1,3,5.5,5,6.5,7.3,6.8,7.6,10.1,14.6,14.9,16.8,
,Other Commission paid,0,24.2,30.5,23.1,0,20,17.1,19,22.2,29.9,38.3,37.8,
,Vehicles Repairs and Maintenance,3.6,2.9,4,4.4,5.2,2.6,2.4,3.6,3.8,4.4,4.4,4.5,
,Security Charges,6.6,6,9,9.9,10.9,11.9,13.1,14.3,14.8,18.1,21.2,24.9,
,Miscellaneous Expenditure,11.4,12.7,12.5,14.6,17.8,61.2,19.1,35.1,44.3,51,49,60.3,
,Loss on Sale of Assets,0,1.2,0,0,0,0,0,0,0,0,0,0,
,Loss on Sale of Investments,0,0,0,0,0,0.7,0,0,0,0,0,0,
,Loss on revaluation of investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Loss on forex transactions,0.4,1.9,0,0,0,23.9,1.8,14,16.3,12.2,19.6,23.1,
,Bad Debts written off,0.2,0.7,0.5,0.1,0,9.2,0.6,0,1.3,0.6,0.1,4.5,
,Provision for doubtful loan/ Deposit/ Advances,0.3,0.5,0.6,0.6,0.6,2.7,0.9,0,0,0,0,0,
,Other Miscellaneous Expenses,6.8,5.2,7.5,7.1,6.6,8.7,3.7,5.2,7.6,16.6,6.3,7.5,
,Total Expenses,3788.1,2635.2,3888.2,4370.8,5037,4902.9,5305.9,6765.4,8273.3,8901.4,9385.1,10121.8,
,Share of Profits / Loss of Associated Companies Before Tax,0,0,0,34.7,14.4,31.2,146,204.4,153.3,106.9,120.1,101.2,
,Profit before Exceptional and Extraordinary Items and Tax,471.7,329.7,582.5,637.5,597.2,641.3,1212.2,1231.8,1111.3,1405.4,1239,1241.9,
,Exceptional Items,0,-7.7,0,0,67.2,0,0,0,0,0,0,0,
,Net Profit/Loss on sale of Non Current Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Net Profit/Loss on Sale of Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0,
,Provision for Diminution in Value of Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Reversal of Provision for Diminution in Value of Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Other Exceptional Items,0,-7.7,0,0,67.2,0,0,0,0,0,0,0,
,Income,0,0,0,0,67.2,0,0,0,0,0,0,0,
,Expenditure,0,-7.7,0,0,0,0,0,0,0,0,0,0,
,Profit before Extraordinary Items and Tax,471.7,322,582.5,637.5,664.4,641.3,1212.2,1231.8,1111.3,1405.4,1239,1241.9,
,Extraordinary Items,0,0,0,0,0,0,0,0,0,0,0,0,
,Net Profit/Loss on sale of Non Current Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Net Profit/Loss on Sale of Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0,
,Provision for Diminution in Value of Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Reversal of Provision for Diminution in Value of Investments,0,0,0,0,0,0,0,0,0,0,0,0,
,Other Extraordinary Items,0,0,0,0,0,0,0,0,0,0,0,0,
,Profit before Tax,471.7,322,582.5,637.5,664.4,641.3,1212.2,1231.8,1111.3,1405.4,1239,1241.9,
,Tax Expenses,160,117.6,205.8,205.7,215.8,173.9,234.1,263.3,246,335.7,278.2,287.9,
Tax,(1) Current Tax,177.7,102.8,195,208.6,208.8,161.7,274.7,264.8,245.6,330.5,286.7,280.6,
 Deferred Tax ,(2) Deferred Tax,-17.6,14.9,10.8,-2.9,7,12.2,-40.6,-1.5,0.4,5.2,-8.5,7.3,
 Fringe Benefit Tax ,(3) Other Tax Adjustments,0,0,0,0,0,0,0,0,0,0,0,0,
,Profit after Tax before Share of Profit/Loss in Associate Company and Minority interests,311.7,204.3,376.7,431.8,448.6,467.4,978.1,968.5,865.3,1069.7,960.9,954,
,Share of Profit/(Loss) in Associate Company,10.6,17,53.7,0,0,0,0,0,0,0,0,0,
,Profit/(Loss) for the period from Continuing Operations,322.4,221.4,430.4,431.8,448.6,467.4,978.1,968.5,865.3,1069.7,960.9,954,
,Profit/(Loss) for the period,322.4,221.4,430.4,431.8,448.6,467.4,978.1,968.5,865.3,1069.7,960.9,954,
,Basic EPS,25.4,17.4,33.9,34,31.6,36.8,77,76.2,68.1,84.2,75.6,75.1,
,Diluted EPS,25.4,17.4,33.9,34,35.3,36.8,77,76.2,68.1,84.2,75.6,75.1,
,Book Value,95.4,103.6,133.5,149.2,169.6,178,249.5,302.6,346.5,402.2,445.6,485.7,
,Contingent Liabilities & Commitments,279.6,131.9,126.3,196,190.7,238,178.6,237.6,0,0,0,0,
,Contingent Liabilities,218.9,69.6,67.4,51.8,79.2,84.9,0,0,0,0,0,0,
,Claims against the company not acknowledged as debt,49.1,53.2,0,0,0,0,0,0,0,0,0,0,
,Sales Tax Disputed,7,0,0,6.2,14.2,8.8,0,0,0,0,0,0,
,Income Tax Disputed,25.6,27.1,9.4,11.6,8.9,13.6,0,0,0,0,0,0,
,Others Disputed,16.5,26.2,25.2,19.1,53.8,50.6,0,0,0,0,0,0,
,Guarantees,117,16.4,32.8,14.9,2.3,12,0,0,0,0,0,0,
,Bank Guarantees,25.6,0,0,0,0,0,0,0,0,0,0,0,
,Letters of Credit,80.1,0,0,0,0,0,0,0,0,0,0,0,
,Bills Discounted,11.4,16.4,32.8,14.9,2.3,12,0,0,0,0,0,0,
,Other money for which the company is contingently liable,52.8,0,0,0,0,0,0,0,0,0,0,0,
,Commitments,60.7,62.3,58.9,144.1,111.5,153.1,178.6,237.6,0,0,0,0,
,(a) Estimated amount of contracts remaining to be executed on capital,60.7,46.7,58.9,133.8,111.5,153.1,178.6,237.6,0,0,0,0,
,(c) Other commitments,0,15.6,0,10.4,0,0,0,0,0,0,0,0,
,Dividend (%),450,375,750,600,650,700,1100,1200,1300,1500,1700,1800,
,Dividend Per Share,9,7.5,15,12,13,14,22,24,26,30,34,36,
