"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Taxes","0","0","1.5","1.7","0.2","1.9","0","0.1","0","0"
"Other Interest","0","0","0","0","0","0.1","0","0","0.5","1.5"
"Other borrowing costs","7.1","5.1","5.9","3.6","6.1","7.1","5.9","6.3","9.5","14.2"
"Less: Interest Capitalised","0","0.5","1.2","0","0","0","0","0","0","0"
"Depreciation and Amortization Expenses","34.1","50.9","53.4","64.3","95.9","102.8","109","138.3","175.9","201.3"
"Depreciation & Amortisation","34.1","50.9","53.4","64.3","95.9","102.8","109","138.3","175.9","201.3"
"Depreciation","34.1","50.3","52.7","63.5","93","99.4","106.1","136","173.3","197.5"
"Amortization","0","0.6","0.8","0.8","2.9","3.3","2.9","2.4","2.7","3.9"
"Other Expenses","314.5","283.2","329.2","343.9","527.4","526.6","741.9","911.2","1051.8","1287.8"
"Manufacturing expenses","95.1","111.6","115.2","136.2","185.8","193.2","258.5","337.2","404.9","506.9"
"Consumption of stores and spare parts","40.2","45.8","42.3","50.3","73.8","81.5","89.5","105.8","128.2","153.7"
"Power, Fuel & Water Charges","52.8","58.8","66.4","78.1","103.8","102.7","155.8","217.4","257","320.3"
"Power, Oil & Fuel","52.8","58.8","66.4","78.1","103.8","102.7","155.8","217.4","257","320.3"
"Repairs to Building","0.5","1.1","0.5","0.4","0.4","0.4","1","0.9","0.6","0.6"
"Repairs to Machinery","2.7","3.5","2.8","4.6","5.6","6.2","9.5","10.3","14.1","18.7"
"Repairs to Other Assets","0.5","0.4","0.5","0.7","1.5","2.5","2.6","2.8","2.2","3"
"Increase/Decrease in Excise Duty and Cess on Finished Goods","-3.8","0","0","0","0","0","0","0","0","0"
"Jobwork Charges","1.2","1.9","2.7","2.1","0.6","0.1","0.1","0","2.8","10.7"
"Cost of Insurance Operations :","0","0","0","0","0","0","0","0","0","0"
"Other Manufacturing Expenses","1.2","0","0","0","0","0","0","0","0","0"
"Selling and Administration Expenses","203.5","153.8","184.5","198.6","329","313.3","462","540.3","603.3","727.1"
"Freight Outwards","108.7","125.3","154","161.3","250.4","268.7","396.1","474.2","508.8","649.4"
"Travelling Expenses","3.1","4.2","5.5","8","7.6","3.1","7.1","12.5","17.3","12.6"
"Brokerage & Commission on Sales","7.2","0","0","0","0","0","0","0","0","0"
"Advertisement","0","7.2","9.3","9","49.7","23.5","34.8","28.8","44.9","30.8"
"Other Discount and Rebate","59.8","0","0","0","0","0","0","0","0","0"
"Other Sales Promotion Expenses","13","0","0","0","0","0","0","0","0","0"
"Rent","4.1","5.7","6.3","8.7","4.9","4.5","4.4","4.8","4.6","4.4"
"Insurance","0.5","0","0","1.1","1.4","1.9","1.8","2.7","2.7","3.8"
"Rates & Taxes","2.2","5.7","2.2","1.7","4.4","2.8","4.7","2.7","6.9","5.1"
"Payment to Auditors","1","1.1","1.5","1.7","1.8","1.3","1.6","0","2.2","2.3"
"(a) as auditor","0.8","1","1.2","1.2","1.5","1.2","1.5","0","2.1","2.1"
"(b) for taxation matters","0","0.1","0.2","0","0","0","0","0","0","0"
"(e) for other services","0.2","0.1","0.1","0.3","0.2","0","0","0","0","0"
"(f) for reimbursement of expenses","0","0.1","0","0.1","0.1","0","0","0","0.1","0.1"
"Legal Expenses","2","3.1","4.3","5.3","6.3","4.6","8.4","10.9","11.1","12.8"
"Vehicles Repairs and Maintenance","0.8","0","0","0","0","0","0","0","0","0"
"Security Charges","1.2","1.5","1.4","1.9","2.6","3","3.2","3.7","4.8","6.1"
"Miscellaneous Expenditure","15.9","17.8","29.6","9.2","12.6","20.1","21.4","33.7","43.6","53.8"
"Donations & Charity","0","0","0","0","0","0","0","0","0","0"
"Loss on Sale of Assets","0","1","0.1","0","0.2","0","0.4","0.9","0.7","0.5"
"Loss on Sale of Investments","0.6","0","0","0","0","0","0","0","0","0"
"Loss on revaluation of investments","0","3.7","14.1","6.6","0","0","0","1","1.3","1.7"
"Loss on forex transactions","5.1","0","6.4","-4.2","0","0","0","0","0","0"
"Bad Debts written off","0","0","0.4","0.2","0","0","0.3","0","0","0.2"
"Expenses Ammortised","2.9","0","0","0","0","0","0","0","0","0"
"Provision for doubtful loan/ Deposit/ Advances","0","1.2","1.6","0.6","2.4","1","0.3","0.9","0.9","3.5"
"Other provisions and write offs","2.4","0.9","0.9","0","0","0","0","0","0","0"
"Provision for Stocks / Inventories Obsolescence","0","0","0.1","0.2","0.2","1","1.4","1.3","1.4","2.3"
"Assets Written Off","0.4","0","0","0","0","0","0","0","0","0"
"Other Miscellaneous Expenses","4.6","9.8","5.8","5.2","9.7","12.7","11.9","18.3","25.7","27.8"
"Total Expenses","4035.6","3713.9","5098.4","6937.1","7449.1","7989.9","12271.5","15349.8","17216","19825.2"
"Profit before Exceptional and Extraordinary Items and Tax","188.3","216","244.3","226.9","296.3","545.8","832.3","863.3","977.7","960.4"
"Exceptional Items","-25.3","0","0","0","0","0","0","0","0","0"
"Net Profit/Loss on sale of Non Current Investments","0","0","0","0","0","0","0","0","0","0"
"Net Profit/Loss on Sale of Fixed Assets","0","0","0","0","0","0","0","0","0","0"
"Provision for Diminution in Value of Investments","0","0","0","0","0","0","0","0","0","0"
"Reversal of Provision for Diminution in Value of Investments","0","0","0","0","0","0","0","0","0","0"
"Other Exceptional Items","-25.3","0","0","0","0","0","0","0","0","0"
"Expenditure","-25.3","0","0","0","0","0","0","0","0","0"
"Profit before Extraordinary Items and Tax","163","216","244.3","226.9","296.3","545.8","832.3","863.3","977.7","960.4"
"Extraordinary Items","0","0","0","0","0","0","0","0","0","0"
"Net Profit/Loss on sale of Non Current Investments","0","0","0","0","0","0","0","0","0","0"
"Net Profit/Loss on Sale of Fixed Assets","0","0","0","0","0","0","0","0","0","0"
"Provision for Diminution in Value of Investments","0","0","0","0","0","0","0","0","0","0"
"Reversal of Provision for Diminution in Value of Investments","0","0","0","0","0","0","0","0","0","0"
"Other Extraordinary Items","0","0","0","0","0","0","0","0","0","0"
"Profit before Tax","163","216","244.3","226.9","296.3","545.8","832.3","863.3","977.7","960.4"
"Tax Expenses","62.4","63.9","86.2","78.7","40.3","138.1","213.3","221.5","245.3","203.4"
"(1) Current Tax","49.7","65.6","71.1","64.8","66.9","128.7","206.6","218.4","239.3","190.7"
"(2) Deferred Tax","11.4","-3","15.1","13.8","-25.3","8.8","6.7","3.1","7.1","28.7"
"(3) Other Tax Adjustments","1.3","1.3","0","0.1","-1.3","0.5","0","0","-1.1","-15.9"
"Prior Year Tax","1.3","1.3","0","0.1","-1.3","0.5","0","0","-1.1","-15.9"
"Profit after Tax before Share of Profit/Loss in Associate Company and Minority interests","100.6","152.1","158.1","148.3","256","407.7","619","641.9","732.4","757.1"
"Minority Interest","0","0","0","0","-18","-47.5","0","0","0","0"
"Profit/(Loss) for the period from Continuing Operations","100.6","152.1","158.1","148.3","238","360.2","619","641.9","732.4","757.1"
"Profit/(Loss) for the period","100.6","152.1","158.1","148.3","238","360.2","619","641.9","732.4","757.1"
"Basic EPS","42.9","64.7","66.8","62.5","19.4","14.5","24.8","23.2","26.4","27.3"
"Diluted EPS","41.6","63.3","65.6","61.8","19.3","14.4","22.3","23.1","26.4","27.3"
"Book Value","242.1","298.2","353.1","404.2","545.3","135.7","98.2","108.4","129.9","151.7"
