Title,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Provisions & Write Offs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative and Selling Expenses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,,143.9,155.8,154.8,116.6,98.5,112.5,106.7,114.6,114.2,125.3,118.3,128.8,131.6,145.5,141.5,146.4,139.3,140.7,179.8,84.2,144.1,144.6,146.5,129.2,153.9,165.8,169.9,167.2,183.2,195.3,215.5,208.5,232.8,234.9,281.5,332,345.3,356.9,346.6,366,374.9,390.3,392.9
Other Expenses,,143.9,155.8,154.8,116.6,98.5,112.5,106.7,114.6,114.2,125.3,118.3,128.8,131.6,145.5,141.5,146.4,139.3,140.7,179.8,84.2,144.1,144.6,146.5,129.2,153.9,165.8,169.9,167.2,183.2,195.3,215.5,208.5,232.8,234.9,281.5,332,345.3,356.9,346.6,366,374.9,390.3,392.9
"Profit from operations before other income, finance costs and exceptional items",214.7,55.7,121.4,177.7,165,96.9,147,198.8,118.1,101.5,155,245.4,143,169.9,130.2,153.9,117.8,121.1,169.4,220.6,66.3,203.6,346.6,454.9,165.9,253.7,260.4,332.6,207.2,82.3,238.6,408.2,249.5,284.3,301.6,413.5,301.3,229.3,217.5,324.9,225.9,193.1,204.3,501.7
Other Income,0.9,1.5,0.4,-1,0.6,1.6,0.4,2.6,0.4,0.1,0.5,3.7,0.2,0.4,6.9,3.1,0,0.5,0.8,0.1,2,3,3.7,8.2,4.3,4.1,2.9,8.6,4.6,5.5,8.3,11.4,14.2,12.7,20.7,18.1,21.4,15.1,8.9,12.5,16.9,15.5,3.8,8.6
Other Miscellaneous Income,0.9,1.5,0.4,-1,0.6,1.6,0.4,2.6,0.4,0.1,0.5,3.7,0.2,0.4,6.9,3.1,0,0.5,0.8,0.1,2,3,3.7,8.2,4.3,4.1,2.9,8.6,4.6,5.5,8.3,11.4,14.2,12.7,20.7,18.1,21.4,15.1,8.9,12.5,16.9,15.5,3.8,8.6
Profit from ordinary activities before finance costs and exceptional items,215.6,57.2,121.8,176.7,165.6,98.4,147.4,201.3,118.5,101.6,155.5,249.1,143.2,170.3,137.1,156.9,117.8,121.6,170.2,220.6,68.3,206.6,350.3,463.1,170.2,257.8,263.4,341.2,211.8,87.8,246.9,419.6,263.7,297,322.3,431.6,322.7,244.3,226.4,337.4,242.8,208.6,208.1,510.3
Finance Costs,10.9,12.1,7.3,7.9,9.7,8.6,8.5,3.4,3.3,5.2,7.9,5.6,3.5,10,4.7,6.4,3.3,7.1,5.7,4.2,9.5,5.4,2.2,5,2.1,0.7,0.5,1.9,1.6,1.2,1.2,4,1.7,1.6,5.2,7.7,3.3,2.6,3,3,2.8,5.8,11.4,9
Other Interest Expenses,,12.1,7.3,7.9,9.7,8.6,8.5,3.4,3.3,5.2,7.9,5.6,3.5,10,4.7,6.4,3.3,7.1,5.7,4.2,9.5,5.4,2.2,5,2.1,0.7,0.5,1.9,1.6,1.2,1.2,4,1.7,1.6,5.2,7.7,3.3,2.6,3,3,2.8,5.8,11.4,9
