"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Other Expenses","","12.5","13","20.4","15.9","20.6","17.5","14.4","16.9","18.2","17.9","22.9","24.9","23.7","24.1","30","22.3","24.3","26.8","22.6","12.2","23.9","25.4","34.2","23.7","32.6","30.6","38.5","50.6","52.9","46","48.1","39.9","43.5","38.6","58.4","46.7","53.8","48.5","50","50.8","54.9","50.7","52.4"
"Profit from operations before other income, finance costs and exceptional items","5.1","6.3","6.4","7.1","9.4","10","8.3","12.4","9.7","7","6","10.1","13.5","14.7","17","14.8","14.5","15.9","15.8","12.5","9.2","19","18.6","29.1","20.5","18.5","27.1","14.3","29.6","33.6","35.6","36.1","36.7","42","42.3","41.3","35.8","49","40.1","36.5","48","51.8","50.9","49.4"
"Other Income","0.3","0.5","0","0.4","0.1","0.3","0.4","0.4","0.1","0.1","1.1","1.1","0.7","0.1","-0.4","1.2","0.1","0.3","0.1","0.5","0","0.3","0.1","0.6","0.4","4.2","-3.6","7","0.3","0.3","0.2","0.7","0.5","1.9","2","1.3","2.6","1.9","1.8","1.2","0.8","0.9","1.1","4"
"Other Miscellaneous Income","0.3","0.5","0","0.4","0.1","0.3","0.4","0.4","0.1","0.1","1.1","1.1","0.7","0.1","-0.4","1.2","0.1","0.3","0.1","0.5","0","0.3","0.1","0.6","0.4","4.2","-3.6","7","0.3","0.3","0.2","0.7","0.5","1.9","2","1.3","2.6","1.9","1.8","1.2","0.8","0.9","1.1","4"
"Profit from ordinary activities before finance costs and exceptional items","5.4","6.8","6.4","7.5","9.5","10.2","8.7","12.8","9.8","7.1","7","11.2","14.1","14.8","16.7","15.9","14.6","16.1","15.9","13","9.2","19.3","18.7","29.7","20.9","22.7","23.5","21.3","29.8","33.8","35.8","36.8","37.2","43.9","44.2","42.7","38.4","50.9","41.9","37.7","48.8","52.7","52","53.3"
"Finance Costs","1.4","2.2","1.7","1.2","1.7","2.3","2.5","3.5","2","2.3","2.4","1","2.1","2.6","3","3.5","2.5","2.2","3.6","2.6","1.8","1.6","1.4","1.3","1.8","1.9","2","2.1","2.2","1.3","4.1","0.6","0.7","0.6","0.7","0.5","0.5","4","-0.6","-0.1","7.5","1.9","-7.3","1.4"
"Other Interest Expenses","","2.2","1.7","1.2","1.7","2.3","2.5","3.5","2","2.3","2.4","1","2.1","2.6","3","3.5","2.5","2.2","3.6","2.6","1.8","1.6","1.4","1.3","1.8","1.9","2","2.1","2.2","1.3","4.1","0.6","0.7","0.6","0.7","0.5","0.5","4","-0.6","-0.1","7.5","1.9","-7.3","1.4"
"Profit from ordinary activities after finance costs but before exceptional items","4","4.6","4.8","6.3","7.8","8","6.2","9.2","7.8","7.1","7","11.2","12.1","12.2","13.7","12.5","12.1","13.9","12.3","10.4","7.5","17.7","17.3","28.4","19.1","20.8","21.5","19.2","27.6","32.5","31.7","36.2","36.5","43.3","43.5","42.2","37.9","46.9","42.5","37.7","41.3","50.8","59.3","51.9"
"Exceptional Items","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-15.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","0","0","0","0","0","0","0","0"
"Total Exceptional Income","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Exceptional Expenses","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-15.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","0","0","0","0","0","0","0","0"
"Other Expenses","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-15.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.1","0","0","0","0","0","0","0","0"
"Profit from ordinary activities before tax","4","4.6","4.8","6.3","7.8","8","6.2","9.2","7.8","7.1","7","11.2","12.1","12.2","13.7","12.5","12.1","13.9","12.3","-4.8","7.5","17.7","17.3","28.4","19.1","20.8","21.5","19.2","27.6","32.5","31.7","36.2","36.5","43.3","43.5","41.1","37.9","46.9","42.5","37.7","41.3","50.8","59.3","51.9"
"Total Tax","1.3","1.9","1.8","2.5","2.9","2.9","2.1","3.7","3","2.6","2.5","4.9","5","4","2.4","5.4","4.1","3","3","4.4","1.9","4","4.9","4.9","5.2","5.8","5.9","2.6","6.7","8.3","7.7","9.5","8.7","11.5","12.2","3.5","9.5","12.7","12.7","8.1","13","13.5","13.3","13.7"
"Tax","1.3","1.9","1.8","2.5","2.9","2.8","2.1","2.2","2.9","2.1","0.8","1.7","4.4","3.6","1.9","4.3","3.8","3.5","3.4","3.9","1.9","5.4","3","6.7","5.1","5.4","5.9","4.4","7.6","8.7","7.3","9.4","9.1","11","11.8","11.4","10","13.6","11.8","8.7","13.1","13.3","12.9","13"
"Current Year Tax","","1.9","1.8","2.5","2.9","2.8","2.1","2.2","2.9","2.1","0.8","1.7","4.4","3.6","1.9","4.3","3.8","3.5","3.4","3.9","1.9","5.4","3","6.7","5.1","5.4","5.9","3.5","7.6","8.7","7.3","9.4","9.1","11","11.8","11.4","10","13.6","11.7","8.7","13.1","13.3","13","13"
"Adjustment for Previous Year Current Tax","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","-0.1","0"
"Deferred Tax","0","0","0","0","0","0.1","0","1.5","0.1","0.5","1.7","3.2","0.7","0.4","0.5","1.2","0.3","-0.5","-0.3","0.6","0","-1.4","1.9","-1.7","0.2","0.4","0","-1.8","-0.9","-0.4","0.4","0.1","-0.4","0.5","0.4","-7.9","-0.5","-0.8","0.9","-0.5","-0.1","0.2","0.4","0.7"
"Deferred Tax Current","","0","0","0","0","0.1","0","1.5","0.1","0.5","1.7","3.1","0.7","0.4","0.5","1.2","0.3","-0.5","-0.3","0.6","0","-1.4","1.9","-1.7","0.2","0.4","0","-1.8","-0.9","-0.4","0.4","0.1","-0.4","0.5","0.4","-7.9","-0.5","-0.8","0.9","-0.5","-0.1","0.2","0.4","0.7"
"Net profit from Ordinary Activities After Tax","2.7","2.6","2.9","3.8","5","5.1","4.1","5.5","4.8","4.4","4.5","6.3","7","8.2","11.3","7.1","8","10.8","9.3","-9.2","5.6","13.7","12.5","23.5","13.9","15","15.6","16.6","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","34.1","29.8","29.6","28.3","37.3","46","38.3"
"Net profit from Ordinary Activities/Discontinued Operations After Tax","","2.6","2.9","3.8","5","5.1","4.1","5.5","4.8","4.4","4.5","6.3","7","8.2","11.3","7.1","8","10.8","9.3","-9.2","5.6","13.7","12.5","23.5","13.9","15","15.6","16.6","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","34.1","29.8","29.6","28.3","37.3","46","38.3"
"Extraordinary items","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Extraordinary Income","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
