"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON"
"Revenue From Operations(Gross)","249.4","313.1","339.5","460.6","462.1","479.5","659.3","952.1","914.1","1025.1"
"Sale of Products","246.8","313.1","339.5","460.6","462.1","479.5","659.3","952.1","914.1","1025.1"
"Manufactured / Finished Goods","0","106.8","339.5","460.6","462.1","479.5","659.3","952.1","914.1","1025.1"
"Other","264.3","206.3","0","0","0","0","0","0","0","0"
"Less: Claims, Discounts, Taxes etc.","17.4","0","0","0","0","0","0","0","0","0"
"Taxes","17.4","0","0","0","0","0","0","0","0","0"
"Domestic","84.5","0","108.9","0","0","0","238.8","313.7","0","0"
"Exports","179.7","0","230.6","0","0","0","420.6","638.4","0","0"
"Income From Insurance Operations","0","0","0","0","0","0","0","0","0","0"
"Other operating revenues","2.6","0","0","0","0","0","0","0","0","0"
"Export Incentives and Claims","2.6","0","0","0","0","0","0","0","0","0"
"Reported Sales","249.4","294.3","339.1","460.6","462.1","479.5","659.3","952.1","914.1","1025.1"
"Less: Excise Duty","0","18.8","0.5","0","0","0","0","0","0","0"
"Revenue From Operations(Net)","249.4","294.3","339.1","460.6","462.1","479.5","659.3","952.1","914.1","1025.1"
"Other Income","0.6","1.1","2.3","1.6","1","1.1","8","1.4","5.7","7.5"
"Interest Income","0.1","0.1","0.3","0.6","0.2","0.2","0.4","0.4","3.8","4.7"
"From Bank Deposits","0.1","0.1","0","0.1","0.2","0.2","0.4","0.3","3.8","4.7"
"From Other Deposits","0","0","0","0","0","0.1","0","0","0","0"
"From Loans","0","0","0","0.4","0","0","0","0","0","0"
"From Others","0","0","0.3","0","0","0","0","0","0","0"
"Dividend Income","0","0","0","0","0","0","0","0","0","0"
"Profit on Sale of Investments","0","0","0","0","0","0","0","0","0","0"
"Profit on sale/discard of Fixed Assets","0","0","1.1","0.1","0.1","0.1","0","0","0.2","0.4"
"Rental Income","0","0.1","0.1","0","0","0","0.6","0.7","1.1","1"
"Refunds / Claims Received","0.3","0.5","0.3","0","0","0.6","0.6","0.2","0.3","0.5"
