"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Loans and Payments from Related Parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Other Loans and Advances","0","0","0","0","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"-Buyers Credit","0","0","0","0","0","0","0","0","0","0"
"UnSecured Long Term Borrowings","0","0","0","0","0","0","0.2","17.8","30.3","34.1"
"Bonds","0","0","0","0","0","0","0","0","0","0"
"Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Non Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Debentures","0","0","0","0","0","0","0","0","0","0"
"Term Loans","0","0","0","0","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"From Financial Institutions","0","0","0","0","0","0","0","0","0","0"
"From Government","0","0","0","0","0","0","0","0","0","0"
"From other parties","0","0","0","0","0","0","0","0","0","0"
"Deferred Payment Liabilities","0","0","0","0","0","0","0","0","0","0"
"Deposits","0","0","0","0","0","0","0","0","0","0"
"Loans and Payments from Related Parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Other Loans and Advances","0","0","0","0","0","0","0.2","17.8","30.3","34.1"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"-Working Capital Facilities","0","0","0","0","0","0","0","0","0","0"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"-Buyers Credit","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0.2","17.8","30.3","34.1"
"Lease Liabilities LT","0","0","0","0","0.1","0","0","0","19.1","18.9"
"Deferred Tax Liabilities (Net)","85.9","81.3","99.4","120","101.2","111.2","118.7","117.1","125.8","153"
"Deferred Tax Liability","87.7","95.3","111","126.2","107.6","117.8","126.1","132.3","154.8","172.9"
"Deferred Tax Liability","87.7","95.3","111","126.2","107.6","117.8","126.1","132.3","154.8","172.9"
"Deferred Tax Assets","1.8","14","11.6","6.2","6.5","6.6","7.4","15.2","29","20"
"Deferred Tax Assets","87.7","95.3","111","126.2","107.6","117.8","126.1","132.3","154.8","172.9"
"Deferred Tax Assets","1.8","14","11.6","6.2","6.5","6.6","7.4","15.2","29","20"
"Other Long Term Liabilities","1","4.5","29.6","48.4","68","76.5","76.3","118.7","129.3","146"
"Deferred Revenue","0","4","29","47.8","67.2","75.5","75.4","118.2","129","145.8"
"Other Payables","0","0.5","0.6","0.7","0.7","1","0.9","0.5","0.4","0.2"
"Others","1","0","0","0","0","0","0","0","0","0"
"Long-Term Provisions","5.1","7.2","7.8","9.9","16.2","16.4","16.9","21.8","26","30.3"
"Provision for Employee Benefits","5.1","7.2","7.8","9.9","16.2","16.4","16.9","21.8","26","30.3"
"Provision for Gratuity","4.6","5.9","5.9","7","11.5","11.1","10.5","14.2","17.6","20.6"
"Provision for Compensated Absences","0.5","1.3","2","3","4.7","5.4","6.4","7.5","8.4","9.7"
"Dividend Amount Paid","","0","0","0","0","0","0","-87.6","0","0"
"TaxOnProposedDividend","4.68","0","0","0","0","0","0","0","0","0"
"PaymentOfDividendTax","","-4.68","-5.93","-6.76","-7.05","0","0","0","0","0"
"Total Non Current Liabilities","279.6","197.9","215","352.8","589.7","387.6","559.1","665.8","1086.8","757.4"
"Short-Term Borrowings","410.9","464","595.2","535.6","322.9","336.9","233.4","464.8","338","205.7"
"Secured Short Term Borrowings","360.9","324.7","594.9","535.6","322.9","336.9","233.4","464.8","338","205.7"
"Bonds","0","0","0","0","0","0","0","0","0","0"
"Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Non Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
