"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Provisions & Write Offs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative and Selling Expenses","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advertisements","","","","","","","","","","","","","","","","","","","","","5.1","0","16.7","15.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Expenses","","72.8","79.7","101.4","63.5","79.5","75.4","64.7","81.4","106.4","84.5","64.3","76","79","80.4","108.5","121.4","107.7","153.9","143.3","79.4","151.8","145.9","149.5","166.6","171.1","179.5","224.7","208.5","215.8","229.6","266.5","256.5","264.2","248.4","282.7","322.9","306.8","335","323.2","324.5","329.3","349.9","394"
"Other Expenses","","72.8","79.7","101.4","63.5","79.5","75.4","64.7","81.4","106.4","84.5","64.3","76","79","80.4","108.5","121.4","107.7","153.9","143.3","79.4","151.8","145.9","149.5","166.6","171.1","179.5","224.7","208.5","215.8","229.6","266.5","256.5","264.2","248.4","282.7","322.9","306.8","335","323.2","324.5","329.3","349.9","394"
"Profit from operations before other income, finance costs and exceptional items","19.4","61.7","62.5","74.4","83.1","62.8","63.5","72.6","66.5","81.6","74.6","87.7","93.5","70.1","43.5","121.5","104.8","48","134.3","94.4","47.2","144","205.9","178.9","228.1","194.9","175","238.2","164.6","204.3","238.3","276.1","266.3","283.7","232.5","233.8","255.2","91.2","295.2","356.1","317.6","388.9","412.6","451.8"
"Other Income","1.6","1.8","2.6","4.3","4.1","-2.1","4.8","-0.8","9.5","1.8","2.1","1.9","3.7","1.9","3.2","2.8","4.6","4.6","4.7","8.3","4.9","10.1","8.3","12.6","10.2","11.4","7.9","11","8.3","11.6","9.3","18","21.7","19.6","15","18.6","24.7","14.8","21.7","34.9","25.6","25.1","24.7","36.5"
"Other Miscellaneous Income","1.6","1.8","2.6","4.3","4.1","-2.1","4.8","-0.8","9.5","1.8","2.1","1.9","3.7","1.9","3.2","2.8","4.6","4.6","4.7","8.3","4.9","10.1","8.3","12.6","10.2","11.4","7.9","11","8.3","11.6","9.3","18","21.7","19.6","15","18.6","24.7","14.8","21.7","34.9","25.6","25.1","24.7","36.5"
"Profit from ordinary activities before finance costs and exceptional items","21","63.5","65","78.8","87.2","60.7","68.3","71.8","76","83.4","76.6","89.6","97.2","72","46.8","124.4","109.3","52.7","139","102.7","52","154.1","214.2","191.6","238.4","206.3","183","249.2","172.9","215.9","247.6","294.1","288","303.3","247.5","252.4","279.9","106","316.9","391","343.2","414","437.3","488.3"
"Finance Costs","16.1","16.8","18.4","18.2","20","15.6","21","15.4","17.7","20.8","20.3","22.6","26.3","31","27.1","28.9","28.3","26.9","28","24.1","21.2","15.9","14.7","14.4","12.8","10.7","10.9","10.1","10","13.6","18.6","24.9","27.1","26.6","28.5","31.1","27.8","36.4","36.8","32.3","33.3","27.6","32.9","31.7"
