Title,Jun-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Proceeds from Sale of Mutual Funds,0,0,0,1.3,1046.2,1775,2077,2274,2584.8,3747.8,4673.3,6126.4
Purchase of Investments :,0,0,0,0,-1049.1,-1748.7,-2069.1,-2265.5,-2565.9,-3724.1,-4633.5,-6090.1
Purchase from Sale of Non Current Investments,0,0,0,0,0,0,0,0,0,-6.1,-16,0
Purchase from Sale of Mutual Funds,0,0,0,0,-1044,-1773,-2069,-2265.5,-2565.9,-3718,-4617.5,-6090.1
Acquisition of Groups Companies and Subsidiaries :,0,0,0,0,0,0,0,0,0,0,0,0
Disposal of Groups Companies and Subsidiaries :,0,0,0,0,0,0,0,0,0,0,0,0
Investments in Groups Companies,0,0,0,-2,-25,0,0,0,0,0,0,0
Investments in Groups Companies and Subsidiaries,0,0,0,-2,-25,0,0,0,0,0,0,0
Loans to Subsidiaries,0,0,0,0,0,0,0,0,0,0,0,0
Interest Received,2.2,3,3.2,2.4,5.1,0.1,0.9,0.9,1.7,1.2,2.2,1.7
Dividend Received,4.3,8.7,2.9,13,13,17.4,11.6,47.8,52.1,52.1,55,57.9
Changes in Deposits :,0,0,0,0,0,0,0,0,0,0,0,0
Other Investments Activities :,0,0,0.1,0,0,0,0,0,0,-138.8,0,-302.1
Share Issue Expenses,0,0,0,0,0,0,0,0,0,0,0,0
Rental Income,0,0,0.1,0,0,0,0,0,0,0,0,0
Other Investments Activities,0,0,0,0,0,0,0,0,0,-138.8,0,-302.1
Cash Flows From Investing Activities,-186,-218,-202.2,-266.9,-239.6,-195.9,-200.6,-403.5,-349.3,-608.5,-790.7,-1013.7
Proceeds from Long-term Debt,100,0,0,0,0,0,0,0,0,0,0,0
Payments of Long-term Debt,-153,-48,-184.2,-47.4,-15.4,-0.3,-0.3,-0.7,0,0,0,0
Proceeds from Short-term Debt,0,68,51.1,18.8,0,238.3,0,0,0,0,0,0
Payments of Short-term Debt,-26.8,0,0,0,-72.8,0,-410.1,-0.3,0,0,0,0
Payment of Lease and Hire,0,0,0,0,0,-14.2,-15,-16.1,-20.2,-22.1,-27.8,-31.4
Interest Paid,-60.2,-31.9,-31.4,-25.9,-28.7,-27.1,-16.6,-1,-1.5,-3.9,-5.7,-20.2
Dividend Paid,-119.7,-221.7,-45.9,-229.3,-199.1,-352.2,-63.5,-292.2,-304.9,-355.7,-406.5,-444.6
Cash Flows from Financing Activities,-259.6,-233.5,-210.4,-283.8,-316,-155.5,-505.5,-310.3,-326.6,-381.7,-440,-496.2
Net Increase (Decrease) in Cash and Cash Equivalent,155.2,-155.2,52.4,-43.1,0.1,187.9,540.2,-243.5,214.5,422.7,-227,-285.2
Effect of Foreign Exchange Fluctuation,0,0,0,0,0,0,1.4,0.9,4.6,17.9,-7.3,-10.1
Cash and Cash Equivalents at Beginning,23.8,179,23.8,75.1,32,32.1,219.9,761.5,518.9,738,1178.5,944.1
Cash and Cash Equivalents at End,179,23.8,76.2,32,32.1,219.9,761.5,518.9,738,1178.5,944.1,648.8
Payment of Lease Liabilities,0,0,0,0,0,-14.2,-15,-16.1,-20.2,-22.1,-27.8,-31.4
